Concentration Limit (%),Allocation Model,CAGR (%),Max Drawdown (%),Profit Factor,Win Rate (%),Trades Taken,Avg Trade Return (%),Avg Capital Deployed (%),Total Return (%),Ending Equity (₹)
5.0,Model A: Equal Weight (Baseline),21.31319045712914,-23.51238700666109,1.6699252256735468,28.88548057259714,1956,1.866050884686954,59.351005962799576,431.19037150010513,5311903.715001051
5.0,Model B1: Linear Rank Weighted,20.26837556010865,-22.188903098581843,1.6699252256735468,28.88548057259714,1956,1.866050884686954,55.885393936185444,392.9247155292638,4929247.155292638
5.0,Model B2: Inverse Rank Weighted,20.3464357008049,-22.25003324890533,1.6699252256735468,28.88548057259714,1956,1.866050884686954,55.92887762634706,395.69688836391447,4956968.883639145
5.0,Model C: Relative Volume Weighted,21.059565121730927,-20.583641164550393,1.727306720639961,28.54240731335703,1969,2.0529061248302374,53.775435101380744,421.6678622088973,5216678.622088973
5.0,Model D: Composite Tech+Fund Weighted,20.463273683362402,-23.77850278870505,1.6507681828207939,28.01020408163265,1960,1.8378339517179234,59.00068064571086,399.8719529396355,4998719.529396355
7.5,Model A: Equal Weight (Baseline),25.065070112781452,-29.40254888977836,1.6283521018020861,28.527918781725887,1970,1.7558203916622033,73.34972601783807,591.1703152997474,6911703.152997473
7.5,Model B1: Linear Rank Weighted,27.168305236850475,-27.44635047953671,1.6943661812460429,29.119754350051174,1954,1.9327529356804984,70.38515074250459,698.3400430010493,7983400.430010493
7.5,Model B2: Inverse Rank Weighted,26.480665525663948,-26.721429399850788,1.69583825620345,29.025641025641026,1950,1.9345657433215544,69.29875107053691,661.789449180615,7617894.4918061495
7.5,Model C: Relative Volume Weighted,26.494717689112534,-26.359624476574933,1.729729518356999,28.46975088967972,1967,2.061856158086985,67.86771026958192,662.5213003428805,7625213.003428806
7.5,Model D: Composite Tech+Fund Weighted,24.545516085076624,-28.50226527168722,1.6239602747537625,28.147389969293755,1954,1.7593261897576387,72.95762517866005,566.7428808697427,6667428.808697428
10.0,Model A: Equal Weight (Baseline),25.065070112781452,-29.40254888977836,1.6283521018020861,28.527918781725887,1970,1.7558203916622033,73.34972601783807,591.1703152997474,6911703.152997473
10.0,Model B1: Linear Rank Weighted,28.869929236843394,-29.10174189853309,1.6771288214547082,28.732106339468306,1956,1.8905417977166106,72.20949801867461,795.5373332495973,8955373.332495973
10.0,Model B2: Inverse Rank Weighted,26.84522027547849,-30.131479151724943,1.6371558307997254,28.64476386036961,1948,1.7861966899091268,71.2456254842244,680.978167418422,7809781.67418422
10.0,Model C: Relative Volume Weighted,29.068178905690555,-28.14215183431616,1.7579359016042926,28.99590163934426,1952,2.1278037525984677,70.66015044218099,807.5153087639283,9075153.087639283
10.0,Model D: Composite Tech+Fund Weighted,25.411840094480787,-28.871048875834543,1.647475285417483,28.24192721681189,1951,1.8182183457809784,73.32390760349755,607.9112904347306,7079112.904347306
15.0,Model A: Equal Weight (Baseline),25.065070112781452,-29.40254888977836,1.6283521018020861,28.527918781725887,1970,1.7558203916622033,73.34972601783807,591.1703152997474,6911703.152997473
15.0,Model B1: Linear Rank Weighted,29.084434516613843,-28.38872582918678,1.6671595254040192,28.72503840245776,1953,1.865457283713672,72.33745172289713,808.5037058955539,9085037.058955539
15.0,Model B2: Inverse Rank Weighted,29.095807526550676,-27.524527557489346,1.7028107102290615,29.19254658385093,1932,1.9472308310986706,71.90614081975883,809.1957899421461,9091957.89942146
15.0,Model C: Relative Volume Weighted,30.566015992188067,-29.535609986000523,1.7838061201449138,29.047131147540984,1952,2.199807843782347,71.79588539332117,902.6878529225061,10026878.52922506
15.0,Model D: Composite Tech+Fund Weighted,26.881065906616854,-28.958056379697695,1.6952713208082275,28.129829984544045,1941,1.9610330385083274,73.32524955410672,682.8878203655922,7828878.203655923
