Factor,Period,Quartile,Trades,Win Rate (%),Avg Return (%),Median Return (%),Profit Factor,Winners >50%,Winners >100%
rel_volume,Full Period,Q1,1158,27.11571675302245,2.2462862209315078,-3.000000000000001,1.8802867405868087,22,5
rel_volume,Full Period,Q2,1157,30.50993949870354,2.537863646865538,-2.9999999999999996,2.0686496209750986,22,5
rel_volume,Full Period,Q3,1158,31.606217616580313,2.5152380396137586,-2.999999999999999,2.0700209303492794,21,4
rel_volume,Full Period,Q4,1158,31.519861830742656,2.3797705698412743,-2.9999999999999987,2.041300520699293,15,5
rel_volume,In-Sample (2018-2022),Q1,550,26.545454545454543,2.759432621800212,-3.0000000000000018,2.0687285476476376,14,5
rel_volume,In-Sample (2018-2022),Q2,588,26.700680272108844,2.558100940322421,-3.0000000000000004,2.01465907001736,13,4
rel_volume,In-Sample (2018-2022),Q3,566,30.212014134275616,2.005221361890389,-3.0000000000000004,1.8437391489311918,10,1
rel_volume,In-Sample (2018-2022),Q4,592,30.743243243243246,3.037249429196945,-2.9999999999999996,2.2952970666148564,11,4
rel_volume,Out-of-Sample (2023-2026),Q1,608,27.631578947368425,1.782091285935147,-3.0000000000000004,1.7059358901948578,8,0
rel_volume,Out-of-Sample (2023-2026),Q2,569,34.44639718804921,2.51695059141273,-2.9999999999999987,2.1319078047650764,9,1
rel_volume,Out-of-Sample (2023-2026),Q3,592,32.939189189189186,3.0028553362209,-2.9999999999999987,2.29108542980303,11,3
rel_volume,Out-of-Sample (2023-2026),Q4,566,32.332155477031804,1.692089501398594,-2.9999999999999982,1.7611030103282215,4,1
Monthly RSI,Full Period,Q1,1158,28.842832469775477,2.677441423684128,-3.0000000000000004,2.081125113392178,23,6
Monthly RSI,Full Period,Q2,1157,29.818496110630942,2.4706237197366634,-3.0,2.034002925992918,25,5
Monthly RSI,Full Period,Q3,1158,31.26079447322971,2.465616441097851,-2.9999999999999987,2.050368531634535,16,3
Monthly RSI,Full Period,Q4,1158,30.82901554404145,2.0654188271659675,-3.0,1.8791464282651589,16,5
Monthly RSI,In-Sample (2018-2022),Q1,668,28.892215568862273,3.2375925978693263,-3.000000000000001,2.2924242199757274,18,5
Monthly RSI,In-Sample (2018-2022),Q2,548,28.102189781021895,2.323154795912666,-3.0,1.9411763473830956,11,3
Monthly RSI,In-Sample (2018-2022),Q3,551,28.67513611615245,2.4303684519684716,-2.999999999999999,2.0090817983504605,10,2
Monthly RSI,In-Sample (2018-2022),Q4,529,28.544423440453688,2.230481185714127,-3.0000000000000018,1.9198802213324544,9,4
Monthly RSI,Out-of-Sample (2023-2026),Q1,490,28.775510204081634,1.9138067617336938,-3.0,1.7851032222836245,5,1
Monthly RSI,Out-of-Sample (2023-2026),Q2,609,31.362889983579638,2.6033215362482407,-3.0,2.1229374774132377,14,2
Monthly RSI,Out-of-Sample (2023-2026),Q3,607,33.60790774299836,2.497612556436052,-2.9999999999999987,2.0897527358764276,6,1
Monthly RSI,Out-of-Sample (2023-2026),Q4,629,32.75039745627981,1.9265984970038437,-2.9999999999999987,1.8428081238640492,7,1
breakout_strength,Full Period,Q1,1158,25.302245250431778,2.2336241103172405,-3.0000000000000018,1.7666737291091728,29,6
breakout_strength,Full Period,Q2,1157,28.08988764044944,2.476587161237717,-3.0000000000000004,2.002264898912604,19,6
breakout_strength,Full Period,Q3,1158,31.951640759930918,2.506119474157029,-2.9999999999999996,2.1612704660208224,19,3
breakout_strength,Full Period,Q4,1158,35.40587219343696,2.4627748157493947,-2.9999999999999973,2.219051863787275,13,4
breakout_strength,In-Sample (2018-2022),Q1,613,24.143556280587276,2.727500343010442,-3.0000000000000027,1.9185583576454805,21,5
breakout_strength,In-Sample (2018-2022),Q2,547,27.605118829981716,3.1309781964526135,-3.0000000000000004,2.238843881438019,12,6
breakout_strength,In-Sample (2018-2022),Q3,564,30.49645390070922,2.5067470992610916,-3.0,2.134528195812572,9,1
breakout_strength,In-Sample (2018-2022),Q4,572,32.34265734265735,2.0217659092762514,-2.9999999999999987,1.9742676899606764,6,2
breakout_strength,Out-of-Sample (2023-2026),Q1,545,26.605504587155966,1.6781266229026854,-3.0000000000000018,1.5887159644197977,8,1
breakout_strength,Out-of-Sample (2023-2026),Q2,610,28.524590163934427,1.8897807739220633,-3.0,1.7807520904057474,7,0
breakout_strength,Out-of-Sample (2023-2026),Q3,594,33.33333333333333,2.505523547290546,-2.9999999999999987,2.1878689071936925,10,2
breakout_strength,Out-of-Sample (2023-2026),Q4,586,38.395904436860064,2.8932476732624286,-2.9999999999999973,2.4711752385867567,7,2
daily_ema21_dist,Full Period,Q1,1158,23.57512953367876,2.5002240355394134,-3.0000000000000027,1.8197848485026502,33,8
daily_ema21_dist,Full Period,Q2,1157,27.657735522904066,2.480498284522962,-3.0000000000000004,1.9886704714434436,21,6
daily_ema21_dist,Full Period,Q3,1158,32.72884283246977,2.6798848965959743,-2.9999999999999987,2.2777815335128846,19,3
daily_ema21_dist,Full Period,Q4,1158,36.787564766839374,2.01850172228428,-2.9999999999999973,2.0586533077036275,7,2
daily_ema21_dist,In-Sample (2018-2022),Q1,620,23.870967741935484,3.344328607625222,-3.0000000000000036,2.0765915047947954,23,7
daily_ema21_dist,In-Sample (2018-2022),Q2,534,24.719101123595504,3.162697534945255,-3.0000000000000004,2.2534606439731997,15,5
daily_ema21_dist,In-Sample (2018-2022),Q3,549,31.51183970856102,2.238138333292876,-2.9999999999999996,2.0474034862821844,8,1
daily_ema21_dist,In-Sample (2018-2022),Q4,593,34.232715008431704,1.6252210496594601,-2.9999999999999973,1.8103318181783026,2,1
daily_ema21_dist,Out-of-Sample (2023-2026),Q1,538,23.234200743494423,1.5274641197527938,-3.0000000000000018,1.5117674148591145,10,1
daily_ema21_dist,Out-of-Sample (2023-2026),Q2,623,30.17656500802568,1.8957560698752831,-3.0000000000000004,1.7593018382791388,6,1
daily_ema21_dist,Out-of-Sample (2023-2026),Q3,609,33.825944170771756,3.078109631002215,-2.9999999999999982,2.493037783201325,11,2
daily_ema21_dist,Out-of-Sample (2023-2026),Q4,565,39.469026548672566,2.4312724105436043,-2.999999999999997,2.3486012515039087,5,1
profit_cagr_3y,Full Period,Q1,1075,30.883720930232556,3.312120040521625,-2.9999999999999996,2.3592821246458793,33,8
profit_cagr_3y,Full Period,Q2,1075,28.55813953488372,1.775895926992992,-3.0,1.7540300815051857,14,3
profit_cagr_3y,Full Period,Q3,1073,32.432432432432435,2.3809800139648507,-2.999999999999999,2.0712177429397562,10,3
profit_cagr_3y,Full Period,Q4,1078,28.664192949907235,2.474789781864799,-3.0000000000000004,1.9767269055713916,17,4
profit_cagr_3y,In-Sample (2018-2022),Q1,441,27.43764172335601,3.8739054458740227,-3.0000000000000013,2.4663609873947068,19,6
profit_cagr_3y,In-Sample (2018-2022),Q2,511,26.614481409001954,1.318172887951532,-3.0000000000000004,1.5546745097906094,5,2
profit_cagr_3y,In-Sample (2018-2022),Q3,590,31.35593220338983,2.530484241219131,-2.9999999999999996,2.1363233312202072,7,2
profit_cagr_3y,In-Sample (2018-2022),Q4,585,28.205128205128204,2.8522758170503892,-3.0000000000000004,2.0876903015591206,12,3
profit_cagr_3y,Out-of-Sample (2023-2026),Q1,634,33.2807570977918,2.921351327965778,-2.9999999999999987,2.273503782159856,14,2
profit_cagr_3y,Out-of-Sample (2023-2026),Q2,564,30.319148936170215,2.1906059854153073,-2.9999999999999996,1.9377873050279333,9,1
profit_cagr_3y,Out-of-Sample (2023-2026),Q3,483,33.74741200828157,2.198355802619043,-2.9999999999999987,1.9913529822068805,3,1
profit_cagr_3y,Out-of-Sample (2023-2026),Q4,493,29.20892494929006,2.0268601052246966,-3.0,1.8345571385011308,5,1
pat_yoy_growth,Full Period,Q1,1093,27.44739249771272,2.987688009711794,-3.0000000000000004,2.1688481819400662,33,7
pat_yoy_growth,Full Period,Q2,1092,31.318681318681318,2.6278947986478522,-2.9999999999999996,2.157913074073208,18,6
pat_yoy_growth,Full Period,Q3,1093,32.38792314730101,2.3526611427295094,-2.9999999999999982,2.0825400595279713,12,4
pat_yoy_growth,Full Period,Q4,1093,29.185727355901193,2.1109657244180045,-3.0000000000000004,1.8276388150915919,15,2
pat_yoy_growth,In-Sample (2018-2022),Q1,557,27.109515260323157,3.545568437263733,-3.0000000000000004,2.3593614241565004,21,5
pat_yoy_growth,In-Sample (2018-2022),Q2,514,31.517509727626457,2.693862801223174,-2.9999999999999996,2.193757092898009,10,4
pat_yoy_growth,In-Sample (2018-2022),Q3,526,29.087452471482887,2.0169961618542502,-2.999999999999999,1.9169348200621785,4,3
pat_yoy_growth,In-Sample (2018-2022),Q4,591,26.56514382402707,2.4368080950115254,-3.000000000000002,1.89487959608064,12,2
pat_yoy_growth,Out-of-Sample (2023-2026),Q1,536,27.798507462686565,2.407950326602782,-3.0000000000000004,1.9624534082646519,12,2
pat_yoy_growth,Out-of-Sample (2023-2026),Q2,578,31.141868512110726,2.5692312115826015,-2.9999999999999996,2.126378098872037,8,2
pat_yoy_growth,Out-of-Sample (2023-2026),Q3,567,35.44973544973545,2.6640540526772805,-2.9999999999999973,2.2398140417547237,8,1
pat_yoy_growth,Out-of-Sample (2023-2026),Q4,502,32.27091633466135,1.7273544873248352,-2.999999999999999,1.735814047516743,3,0
roe,Full Period,Q1,1067,31.865042174320525,3.1494313894699952,-2.9999999999999987,2.406830489540664,25,6
roe,Full Period,Q2,1067,30.36551077788191,1.7867036276016302,-3.0,1.7847269985973855,11,2
roe,Full Period,Q3,1067,28.49109653233365,2.371272112245592,-3.0,1.9937602589004406,17,5
roe,Full Period,Q4,1068,29.775280898876407,2.7190801353762595,-3.000000000000001,2.030087936156022,23,6
roe,In-Sample (2018-2022),Q1,525,34.285714285714285,4.164157340480292,-2.9999999999999982,2.9698933494380855,15,5
roe,In-Sample (2018-2022),Q2,572,25.699300699300696,0.8712351498633024,-3.0000000000000018,1.359532801296474,5,2
roe,In-Sample (2018-2022),Q3,559,26.118067978533094,2.6910078149061003,-3.0000000000000004,2.0758570978913418,11,4
roe,In-Sample (2018-2022),Q4,492,28.252032520325205,3.0537905050263157,-3.0000000000000018,2.0964753856045224,14,3
roe,Out-of-Sample (2023-2026),Q1,542,29.520295202952028,2.1665326361851127,-3.0,1.9182052829068805,10,1
roe,Out-of-Sample (2023-2026),Q2,495,35.75757575757576,2.844578312988142,-2.999999999999998,2.349625470797375,6,0
roe,Out-of-Sample (2023-2026),Q3,508,31.10236220472441,2.0194369591211347,-2.9999999999999996,1.8937549489786838,6,1
roe,Out-of-Sample (2023-2026),Q4,576,31.07638888888889,2.433181694633503,-3.0,1.9673027971888861,9,3
roce,Full Period,Q1,1074,33.05400372439479,3.049340525400732,-2.9999999999999987,2.3861591661846493,21,4
roce,Full Period,Q2,1072,30.130597014925375,2.238320862930577,-2.9999999999999996,1.9571287240523205,14,5
roce,Full Period,Q3,1075,27.62790697674419,1.9011919703210376,-3.0,1.7839616207426254,16,3
roce,Full Period,Q4,1077,29.71216341689879,2.895282581986584,-3.0000000000000004,2.116193048685559,26,7
roce,In-Sample (2018-2022),Q1,523,33.84321223709369,3.7003717991850382,-2.9999999999999987,2.726543249982858,13,3
roce,In-Sample (2018-2022),Q2,569,28.998242530755714,2.7901003779167497,-2.9999999999999996,2.172691502383363,11,5
roce,In-Sample (2018-2022),Q3,556,23.381294964028775,1.3838085050755402,-3.0000000000000013,1.541848213866923,7,2
roce,In-Sample (2018-2022),Q4,512,27.9296875,2.9251783940885394,-3.0000000000000018,2.0618608130768505,15,4
roce,Out-of-Sample (2023-2026),Q1,551,32.30490018148821,2.431392510538315,-2.999999999999999,2.078895316052058,8,1
