date,gfs_cash_zero_yield,gfs_cash_liquid_fund,gfs_cash_goldbees
2018-01-01,10000000.0,10002579.37,10038615.88
2018-01-02,10000000.0,10005159.4,10048298.82
2018-01-03,10000000.0,10007740.09,10048868.11
2018-01-04,10000000.0,10010321.45,10023805.75
2018-01-05,10000000.0,10012903.48,10039944.94
2018-01-08,10000000.0,10015486.17,10051716.71
2018-01-09,10000000.0,10018069.53,10077727.88
2018-01-10,10000000.0,10020653.56,10070323.54
2018-01-11,10000000.0,10023238.25,10107726.95
2018-01-12,10000000.0,10025823.61,10170192.72
2018-01-15,10000000.0,10028409.64,10233418.26
2018-01-16,10000000.0,10030996.33,10272341.21
2018-01-17,10000000.0,10033583.69,10258290.85
2018-01-18,10000000.0,10036171.72,10187850.73
2018-01-19,10000000.0,10038760.41,10232659.21
2018-01-22,10000000.0,10041349.77,10215190.96
2018-01-23,10000000.0,10043939.81,10251076.27
2018-01-24,10000000.0,10046530.5,10303669.34
2018-01-25,10000000.0,10049121.87,10379235.94
2018-01-29,10000000.0,10051713.91,10308036.04
2018-01-30,10000000.0,10054306.61,10308795.09
2018-01-31,10000000.0,10056899.98,10286581.34
2018-02-01,10000000.0,10059494.03,10306896.75
2018-02-02,10000000.0,10062088.74,10387589.81
2018-02-05,10000000.0,10064684.12,10322845.45
2018-02-06,10000000.0,10067280.17,10391576.99
2018-02-07,10000000.0,10069876.88,10290948.04
2018-02-08,10000000.0,10072474.27,10170572.96
2018-02-09,10000000.0,10075072.33,10230570.38
2018-02-12,10000000.0,10077671.06,10252784.85
2018-02-14,10000000.0,10080270.46,10302530.04
2018-02-15,10000000.0,10082870.53,10432208.53
2018-02-16,10000000.0,10085471.27,10493535.73
2018-02-19,10000000.0,10088072.68,10468663.13
2018-02-20,10000000.0,10090674.76,10443790.54
2018-02-21,10000000.0,10093277.52,10372211.12
2018-02-22,10000000.0,10095880.94,10363856.52
2018-02-23,10000000.0,10098485.04,10372400.88
2018-02-26,10000000.0,10101089.81,10428031.59
2018-02-27,10000000.0,10103695.25,10417399.12
2018-02-28,10000000.0,10106301.36,10367653.93
2018-03-01,10000000.0,10108908.14,10323035.21
2018-03-05,10000000.0,10111515.6,10404677.82
2018-03-06,10000000.0,10114123.73,10366324.87
2018-03-07,10000000.0,10116732.53,10420057.24
2018-03-08,10000000.0,10119342.0,10384741.93
2018-03-09,10000000.0,10121952.15,10348477.82
2018-03-12,10000000.0,10124562.97,10329680.51
2018-03-13,10000000.0,10127174.47,10312023.22
2018-03-14,10000000.0,10129786.64,10351325.7
2018-03-15,10000000.0,10132399.48,10330060.76
2018-03-16,10000000.0,10135012.99,10315441.11
2018-03-19,10000000.0,10137627.18,10266265.21
2018-03-20,10000000.0,10140242.05,10312782.99
2018-03-21,10000000.0,10142857.59,10318858.28
2018-03-22,10000000.0,10145473.8,10386070.99
2018-03-23,10000000.0,10148090.69,10452144.41
2018-03-26,10000000.0,10150708.25,10459359.72
2018-03-27,10000000.0,10153326.49,10477017.01
2018-03-28,10000000.0,10155945.4,10426702.53
2018-04-02,10000000.0,10158564.99,10424613.7
2018-04-03,10000000.0,10161185.26,10448157.24
2018-04-04,10000000.0,10163806.2,10526951.96
2018-04-05,10000000.0,10166427.81,10378665.93
2018-04-06,10000000.0,10169050.11,10340693.23
2018-04-09,10000000.0,10171673.08,10395374.41
2018-04-10,10000000.0,10174296.72,10453283.71
2018-04-11,10000000.0,10176921.04,10543469.96
2018-04-12,10000000.0,10179546.04,10578975.02
2018-04-13,10000000.0,10182171.72,10518787.85
2018-04-16,10000000.0,10184798.07,10623973.99
2018-04-17,10000000.0,10187425.1,10638593.63
2018-04-18,10000000.0,10190052.81,10697261.99
2018-04-19,10000000.0,10192681.2,10672769.64
2018-04-20,10000000.0,10195310.26,10650365.4
2018-04-23,10000000.0,10197940.01,10637454.34
2018-04-24,10000000.0,10200570.43,10597202.32
2018-04-25,10000000.0,10203201.53,10643719.38
2018-04-26,10000000.0,10205833.31,10615619.38
2018-04-27,10000000.0,10208465.76,10594923.73
2018-04-30,10000000.0,10211098.9,10537204.91
2018-05-02,10000000.0,10213732.71,10520306.67
2018-05-03,10000000.0,10216367.21,10506256.31
2018-05-04,10000000.0,10219002.38,10537394.67
2018-05-07,10000000.0,10221638.24,10599101.39
2018-05-08,10000000.0,10224274.77,10552204.08
2018-05-09,10000000.0,10226911.98,10573658.79
2018-05-10,10000000.0,10229549.88,10684161.16
2018-05-11,10000000.0,10232188.45,10696882.46
2018-05-14,10000000.0,10234827.71,10698211.52
2018-05-15,10000000.0,10237467.64,10659288.57
2018-05-16,10000000.0,10240108.26,10506826.32
2018-05-17,10000000.0,10242749.56,10465815.25
2018-05-18,10000000.0,10245391.54,10520116.91
2018-05-21,10000000.0,10248034.2,10485181.13
2018-05-22,10000000.0,10250677.54,10546698.08
2018-05-23,10000000.0,10253321.56,10588088.67
2018-05-24,10000000.0,10255966.27,10597582.57
2018-05-25,10000000.0,10258611.66,10559988.67
2018-05-28,10000000.0,10261257.73,10488599.02
2018-05-29,10000000.0,10263904.48,10598151.86
2018-05-30,10000000.0,10266551.92,10535116.08
2018-05-31,10000000.0,10269200.04,10549735.73
2018-06-01,10000000.0,10271848.84,10497902.43
2018-06-04,10000000.0,10274498.32,10453093.95
2018-06-05,10000000.0,10277148.49,10415500.05
2018-06-06,10000000.0,10279799.34,10418728.18
2018-06-07,10000000.0,10282450.88,10458220.42
2018-06-08,10000000.0,10285103.1,10526002.43
2018-06-11,10000000.0,10287756.0,10469232.42
2018-06-12,10000000.0,10290409.59,10456891.36
2018-06-13,10000000.0,10293063.86,10474169.13
2018-06-14,10000000.0,10295718.82,10528470.78
2018-06-15,10000000.0,10298374.46,10537394.67
2018-06-18,10000000.0,10301030.79,10424423.94
2018-06-19,10000000.0,10303687.8,10461828.08
2018-06-20,10000000.0,10306345.49,10405627.35
2018-06-21,10000000.0,10309003.88,10338224.87
2018-06-22,10000000.0,10311662.95,10340123.22
2018-06-25,10000000.0,10314322.7,10381514.53
2018-06-26,10000000.0,10316983.14,10311643.69
2018-06-27,10000000.0,10319644.27,10372211.12
2018-06-28,10000000.0,10322306.08,10350755.69
