Ranking Method,Positions,Sector Rule,Regime Schedule,CAGR,Max DD,Profit Factor,Calmar,Win Rate,Trades,Avg Trade %,Avg Exposure %,>100% Wins,Max Winner %
3M Return,3,Unrestricted,Fixed 100% Exposure,28.86804788860433,-58.785344070974176,4.447805351261689,0.49107559621919783,37.5,32,37.085781000890194,77.4221512274986,4,595.1899626129455
3M Return,3,Unrestricted,Regime Schedule 1 (100/70/30),8.812140600815898,-47.43255170949933,2.089327073207102,0.18578255403137184,31.25,32,11.807681278629257,71.62316086433506,2,249.6700011473711
3M Return,3,Max 2 / Sector,Fixed 100% Exposure,28.86804788860433,-58.785344070974176,4.447805351261689,0.49107559621919783,37.5,32,37.085781000890194,77.4221512274986,4,595.1899626129455
3M Return,3,Max 2 / Sector,Regime Schedule 1 (100/70/30),8.812140600815898,-47.43255170949933,2.089327073207102,0.18578255403137184,31.25,32,11.807681278629257,71.62316086433506,2,249.6700011473711
3M Return,5,Unrestricted,Fixed 100% Exposure,27.299791651939987,-32.7057048639375,5.3121865157579204,0.8347103896862267,38.775510204081634,49,40.768508973192105,79.6465497013705,6,595.1899626129455
3M Return,5,Unrestricted,Regime Schedule 1 (100/70/30),11.434894740953517,-37.937649991538144,2.4217860523152126,0.3014128377351794,38.0,50,13.484982291458907,72.2285972120596,3,266.0918054390815
3M Return,5,Max 2 / Sector,Fixed 100% Exposure,14.391505743537515,-30.12823174249435,3.056591181829844,0.47767508782266244,34.54545454545455,55,19.441946490978157,78.04610472996976,5,410.0092232845442
3M Return,5,Max 2 / Sector,Regime Schedule 1 (100/70/30),11.760595110413895,-34.14609989063245,2.545154661298831,0.3444198648771676,40.0,50,14.207944965346053,71.23021524741257,4,266.0918054390815
3M Return,7,Unrestricted,Fixed 100% Exposure,20.663761184485587,-30.609499279368045,4.1127113034168135,0.6750767464665369,38.028169014084504,71,30.502550497465126,79.64494761123171,8,595.1899626129455
3M Return,7,Unrestricted,Regime Schedule 1 (100/70/30),14.44337426734914,-33.11942079718668,3.2492548798428778,0.4360998447344837,38.80597014925373,67,20.809681663631242,71.71639765304676,6,492.5191230328097
3M Return,7,Max 2 / Sector,Fixed 100% Exposure,20.88574566072956,-29.737646378802662,4.206701445912647,0.7023335133750586,38.80597014925373,67,29.768785080800885,79.00173465301852,10,492.5191230328097
3M Return,7,Max 2 / Sector,Regime Schedule 1 (100/70/30),19.437240009420197,-30.272719998683232,4.297599461224239,0.642071145581423,41.53846153846154,65,29.343871777198768,71.99336156384047,7,570.6357886149458
3M Return,10,Unrestricted,Fixed 100% Exposure,26.104408014060642,-40.483335628519576,4.181168758554606,0.6448186052058094,40.42553191489361,94,32.09649914718394,79.48782537730017,12,595.1899626129455
3M Return,10,Unrestricted,Regime Schedule 1 (100/70/30),32.61916114952963,-31.272487296546046,7.087146118099817,1.0430625757463277,43.58974358974359,78,54.12660815628345,74.9800469388227,13,1465.8324884313088
3M Return,10,Max 2 / Sector,Fixed 100% Exposure,26.346301412839267,-34.12214337080104,5.256994544652696,0.7721174231799369,40.21739130434783,92,39.843934310630026,78.4040207338243,14,595.1899626129455
3M Return,10,Max 2 / Sector,Regime Schedule 1 (100/70/30),33.03071468128478,-29.67957106650302,8.833861916808955,1.1129107832209857,48.717948717948715,78,62.40723679758637,73.384720486002,15,1465.8324884313088
3M Return,15,Unrestricted,Fixed 100% Exposure,27.08950890650048,-32.83625653915475,5.060888939739695,0.824987734950794,39.568345323741006,139,41.61372779094845,78.44998272126682,18,1465.8324884313088
3M Return,15,Unrestricted,Regime Schedule 1 (100/70/30),31.923129302693276,-26.541732606494094,6.234421840071503,1.2027522760470615,44.73684210526316,114,46.38263407940215,73.72179746678934,17,1465.8324884313088
