date,futures_1.0x,futures_1.25x,futures_1.5x,futures_1.75x,futures_2.0x,futures_2.5x,futures_3.0x
2018-01-01,10002380.952380951,10002380.952380951,10002380.952380951,10002380.952380951,10002380.952380951,10002380.952380951,10002380.952380951
2018-01-02,10004762.471655328,10004762.471655328,10004762.471655328,10004762.471655328,10004762.471655328,10004762.471655328,10004762.471655328
2018-01-03,10007144.557958104,10007144.557958104,10007144.557958104,10007144.557958104,10007144.557958104,10007144.557958104,10007144.557958104
2018-01-04,10009527.211424284,10009527.211424284,10009527.211424284,10009527.211424284,10009527.211424284,10009527.211424284,10009527.211424284
2018-01-05,10011910.432188908,10011910.432188908,10011910.432188908,10011910.432188908,10011910.432188908,10011910.432188908,10011910.432188908
2018-01-08,10014294.220387047,10014294.220387047,10014294.220387047,10014294.220387047,10014294.220387047,10014294.220387047,10014294.220387047
2018-01-09,10016678.576153805,10016678.576153805,10016678.576153805,10016678.576153805,10016678.576153805,10016678.576153805,10016678.576153805
2018-01-10,10019063.499624318,10019063.499624318,10019063.499624318,10019063.499624318,10019063.499624318,10019063.499624318,10019063.499624318
2018-01-11,10021448.990933752,10021448.990933752,10021448.990933752,10021448.990933752,10021448.990933752,10021448.990933752,10021448.990933752
2018-01-12,10023835.050217308,10023835.050217308,10023835.050217308,10023835.050217308,10023835.050217308,10023835.050217308,10023835.050217308
2018-01-15,10026221.677610217,10026221.677610217,10026221.677610217,10026221.677610217,10026221.677610217,10026221.677610217,10026221.677610217
2018-01-16,10028608.873247743,10028608.873247743,10028608.873247743,10028608.873247743,10028608.873247743,10028608.873247743,10028608.873247743
2018-01-17,10030996.637265183,10030996.637265183,10030996.637265183,10030996.637265183,10030996.637265183,10030996.637265183,10030996.637265183
2018-01-18,10033384.969797865,10033384.969797865,10033384.969797865,10033384.969797865,10033384.969797865,10033384.969797865,10033384.969797865
2018-01-19,10035773.87098115,10035773.87098115,10035773.87098115,10035773.87098115,10035773.87098115,10035773.87098115,10035773.87098115
2018-01-22,10038163.340950431,10038163.340950431,10038163.340950431,10038163.340950431,10038163.340950431,10038163.340950431,10038163.340950431
2018-01-23,10040553.379841134,10040553.379841134,10040553.379841134,10040553.379841134,10040553.379841134,10040553.379841134,10040553.379841134
2018-01-24,10042943.987788714,10042943.987788714,10042943.987788714,10042943.987788714,10042943.987788714,10042943.987788714,10042943.987788714
2018-01-25,10045335.164928664,10045335.164928664,10045335.164928664,10045335.164928664,10045335.164928664,10045335.164928664,10045335.164928664
2018-01-29,10047726.911396503,10047726.911396503,10047726.911396503,10047726.911396503,10047726.911396503,10047726.911396503,10047726.911396503
2018-01-30,10050119.227327788,10050119.227327788,10050119.227327788,10050119.227327788,10050119.227327788,10050119.227327788,10050119.227327788
2018-01-31,10052512.112858104,10052512.112858104,10052512.112858104,10052512.112858104,10052512.112858104,10052512.112858104,10052512.112858104
2018-02-01,10054905.56812307,10054905.56812307,10054905.56812307,10054905.56812307,10054905.56812307,10054905.56812307,10054905.56812307
2018-02-02,10057299.593258338,10057299.593258338,10057299.593258338,10057299.593258338,10057299.593258338,10057299.593258338,10057299.593258338
2018-02-05,10059694.18839959,10059694.18839959,10059694.18839959,10059694.18839959,10059694.18839959,10059694.18839959,10059694.18839959
2018-02-06,10062089.353682542,10062089.353682542,10062089.353682542,10062089.353682542,10062089.353682542,10062089.353682542,10062089.353682542
2018-02-07,10064485.089242943,10064485.089242943,10064485.089242943,10064485.089242943,10064485.089242943,10064485.089242943,10064485.089242943
2018-02-08,10066881.395216571,10066881.395216571,10066881.395216571,10066881.395216571,10066881.395216571,10066881.395216571,10066881.395216571
2018-02-09,10069278.271739243,10069278.271739243,10069278.271739243,10069278.271739243,10069278.271739243,10069278.271739243,10069278.271739243
2018-02-12,10071675.7189468,10071675.7189468,10071675.7189468,10071675.7189468,10071675.7189468,10071675.7189468,10071675.7189468
2018-02-14,10074073.73697512,10074073.73697512,10074073.73697512,10074073.73697512,10074073.73697512,10074073.73697512,10074073.73697512
2018-02-15,10076472.325960115,10076472.325960115,10076472.325960115,10076472.325960115,10076472.325960115,10076472.325960115,10076472.325960115
2018-02-16,10078871.486037724,10078871.486037724,10078871.486037724,10078871.486037724,10078871.486037724,10078871.486037724,10078871.486037724
2018-02-19,10081271.217343923,10081271.217343923,10081271.217343923,10081271.217343923,10081271.217343923,10081271.217343923,10081271.217343923
2018-02-20,10083671.520014718,10083671.520014718,10083671.520014718,10083671.520014718,10083671.520014718,10083671.520014718,10083671.520014718
2018-02-21,10086072.39418615,10086072.39418615,10086072.39418615,10086072.39418615,10086072.39418615,10086072.39418615,10086072.39418615
2018-02-22,10088473.839994289,10088473.839994289,10088473.839994289,10088473.839994289,10088473.839994289,10088473.839994289,10088473.839994289
2018-02-23,10090875.85757524,10090875.85757524,10090875.85757524,10090875.85757524,10090875.85757524,10090875.85757524,10090875.85757524
2018-02-26,10093278.44706514,10093278.44706514,10093278.44706514,10093278.44706514,10093278.44706514,10093278.44706514,10093278.44706514
2018-02-27,10095681.608600155,10095681.608600155,10095681.608600155,10095681.608600155,10095681.608600155,10095681.608600155,10095681.608600155
2018-02-28,10098085.342316488,10098085.342316488,10098085.342316488,10098085.342316488,10098085.342316488,10098085.342316488,10098085.342316488
2018-03-01,10100489.648350373,10100489.648350373,10100489.648350373,10100489.648350373,10100489.648350373,10100489.648350373,10100489.648350373
2018-03-05,10102894.526838075,10102894.526838075,10102894.526838075,10102894.526838075,10102894.526838075,10102894.526838075,10102894.526838075
2018-03-06,10105299.977915894,10105299.977915894,10105299.977915894,10105299.977915894,10105299.977915894,10105299.977915894,10105299.977915894
2018-03-07,10107706.00172016,10107706.00172016,10107706.00172016,10107706.00172016,10107706.00172016,10107706.00172016,10107706.00172016
2018-03-08,10110112.598387236,10110112.598387236,10110112.598387236,10110112.598387236,10110112.598387236,10110112.598387236,10110112.598387236
2018-03-09,10112519.768053519,10112519.768053519,10112519.768053519,10112519.768053519,10112519.768053519,10112519.768053519,10112519.768053519
2018-03-12,10114927.510855436,10114927.510855436,10114927.510855436,10114927.510855436,10114927.510855436,10114927.510855436,10114927.510855436
