Strategy,Entry,Exit,CAGR,MaxDD,ProfitFactor,WinRate,AvgTrade,MedianTrade,AvgHoldDays,MedianHoldDays,MaxHoldDays,Turnover,W50,W100,W200,W500,MaxWinner,CAGR_25bps,CAGR_50bps,CAGR_100bps,MonitoringBurden
Fixed 60D Benchmark,"Monthly RSI>60, Weekly RSI>60, Daily RSI cross 40",60D,17.346809320416057,-34.13975589488983,2.0438116126479846,54.54545454545454,6.328669368678682,2.619149335251784,59.88051948051948,61.0,61,90.7577174929841,22,2,1,0,301.6231536796733,17.346809320416057,15.638629988823416,12.297374307198972,VERY LOW
Fixed 120D Benchmark,"Monthly RSI>60, Weekly RSI>60, Daily RSI cross 40",120D,27.43823094663489,-30.677162779683158,3.690809306899385,60.37735849056604,17.21943717835997,6.790317204294681,115.8254716981132,121.0,121,49.97567820392891,29,12,2,0,485.20763963187574,27.43823094663489,26.43283923486557,24.44779725216033,VERY LOW
Fixed 180D Benchmark,"Monthly RSI>60, Weekly RSI>60, Daily RSI cross 40",180D,26.549262451932986,-32.6751846797147,4.021367648832945,62.0,26.239447454730733,8.865262766654427,173.89333333333335,181.0,181,35.360149672591206,30,16,5,0,344.201976391633,26.549262451932986,25.85967672053735,24.49289077269161,VERY LOW
Fixed 252D (1-Year) Benchmark,"Monthly RSI>60, Weekly RSI>60, Daily RSI cross 40",252D,18.19241984496116,-37.7950258624303,3.84934074313643,60.0,23.8815324892118,9.842125096587464,245.36190476190475,253.0,253,24.752104770813844,24,12,0,0,176.31081893818777,18.19241984496116,17.736227348081023,16.830004668633826,VERY LOW
Fixed 504D (2-Year) Benchmark,"Monthly RSI>60, Weekly RSI>60, Daily RSI cross 40",504D,20.267998253125175,-37.7950258624303,8.948290273337621,75.86206896551724,55.334762038287515,29.241238693856694,441.0,505.0,505,13.672591206735266,22,13,2,1,622.4324729610927,20.267998253125175,20.02213426355477,19.53259343480036,VERY LOW
Weekly EMA5 Exit,"Monthly RSI>60, Weekly RSI>60, Daily RSI cross 40",w_ema5,2.2420443438730064,-35.58935500673895,1.1862572569258285,37.766714082503555,0.4758590199359812,-1.0316136469597001,7.901849217638691,4.0,153,331.4424695977549,15,4,1,0,335.29061637340294,2.2420443438730064,-3.098679359777068,-12.897935336991484,WEEKLY
Weekly EMA9 Exit,"Monthly RSI>60, Weekly RSI>60, Daily RSI cross 40",w_ema9,12.711128853980359,-32.70099065721415,1.5961063587809108,32.83720930232558,1.8038234583466848,-1.506143289424881,13.356279069767442,5.0,215,253.41440598690366,23,11,3,0,446.61899651814457,12.711128853980359,8.52974876782351,0.9329849322987638,WEEKLY
Weekly EMA12 Exit,"Monthly RSI>60, Weekly RSI>60, Daily RSI cross 40",w_ema12,8.698178633079845,-38.24452423887292,1.4310593744786686,30.47735618115055,1.674107714464216,-2.434458616548368,21.164014687882496,8.0,211,192.59494855004678,22,9,1,0,314.9529930575185,8.698178633079845,5.530719007187668,-0.47581037616335475,WEEKLY
Weekly EMA20 Exit,"Monthly RSI>60, Weekly RSI>60, Daily RSI cross 40",w_ema20,21.32711673104899,-29.654156766633864,2.4871153519107816,32.13429256594724,8.309225091743405,-3.609594832102831,49.73860911270983,31.0,372,98.30121608980356,30,12,3,1,1465.8324884313088,21.32711673104899,19.67165588402875,16.453218886342235,WEEKLY
Weekly EMA26 Exit,"Monthly RSI>60, Weekly RSI>60, Daily RSI cross 40",w_ema26,26.934137472431587,-38.73589822633565,3.269738389158449,34.42622950819672,14.740885779626872,-3.9723133238970134,72.66229508196722,45.0,396,71.89897100093545,31,12,6,1,1465.8324884313088,26.934137472431587,25.660068018083603,23.166807650683374,WEEKLY
Monthly EMA5 Exit,"Monthly RSI>60, Weekly RSI>60, Daily RSI cross 40",m_ema5,25.874300428127484,-39.979349508707266,3.6334204591907264,35.41666666666667,19.312766289604788,-4.019234633119896,86.0375,55.0,536,56.57623947614593,24,14,5,2,1465.8324884313088,25.874300428127484,24.39936282897981,22.513646481113913,MONTHLY
Monthly EMA9 Exit,"Monthly RSI>60, Weekly RSI>60, Daily RSI cross 40",m_ema9,28.344520378092476,-33.97786809840312,5.850500888169324,41.95804195804196,43.28806794908087,-4.145489215643961,164.97202797202797,109.0,782,33.71000935453695,25,17,10,3,1465.8324884313088,28.344520378092476,27.73017504688513,26.51277203090572,MONTHLY
