Ranking Method,Positions,CAGR,Max DD,Profit Factor,Win Rate,Avg Trade,Median Trade,Sharpe,Calmar,Annual Turnover,>50% Winners,>100% Winners,>200% Winners,>500% Winners,Maximum Winner,Worst Day,Worst Month,Worst Year,OOS CAGR,OOS Max DD
Random Baseline (Mean),2,6.193091964702086,-52.73723771241369,2.1391105150598695,35.12777726519565,0.0,0.0,0.0,0.11743299864270877,0.0,2.6,1.78,0.0,0.0,247.9594998398212,0.0,0.0,0.0,0.0,0.0
Random Baseline (Mean),3,13.866063210234447,-43.945234279335054,3.0002165170693718,35.65757577491131,0.0,0.0,0.0,0.3155305333473866,0.0,5.18,2.94,0.0,0.0,346.2280875451545,0.0,0.0,0.0,0.0,0.0
Random Baseline (Mean),5,17.14924147100754,-37.60048556021431,3.6737107552704167,38.21707659759389,0.0,0.0,0.0,0.45609095774958375,0.0,9.04,5.18,0.0,0.0,444.96489978359,0.0,0.0,0.0,0.0,0.0
Random Baseline (Mean),7,19.852098423286325,-38.298154576306594,4.1710767377626174,40.06805539016492,0.0,0.0,0.0,0.5183565276946257,0.0,12.44,7.7,0.0,0.0,553.2435801756022,0.0,0.0,0.0,0.0,0.0
Random Baseline (Mean),10,22.96562615745786,-37.66275866418112,4.215359907036941,41.72101818873714,0.0,0.0,0.0,0.609770154178832,0.0,18.38,11.58,0.0,0.0,589.0297122381373,0.0,0.0,0.0,0.0,0.0
Random Baseline (Mean),15,24.340465863201793,-34.78219770202824,4.582438988661438,41.22966722089267,0.0,0.0,0.0,0.6997966624110826,0.0,24.56,15.92,0.0,0.0,1186.7357966894726,0.0,0.0,0.0,0.0,0.0
Monthly RSI,2,-4.028022974381907,-59.55081246864684,1.0446164060075727,31.03448275862069,0.46528768560812606,-8.151500202101492,-0.14223642580555582,-0.06764010107339237,170.90739008419084,1.0,1.0,0.0,0.0,116.56542038707481,-14.718695856710129,-39.185074698502376,-35.666925816724095,0.0,0.0
Monthly RSI,3,-1.1843869467542234,-56.1698846190996,1.1894693394399014,26.190476190476193,2.0214172847307563,-8.879256278352942,-0.0465666312665986,-0.02108579988700018,165.01403180542565,3.0,2.0,0.0,0.0,153.79361058112357,-16.091415272022225,-34.134347104044316,-31.003010685447464,6.0491833356842495,-47.20359956684607
Monthly RSI,5,16.690728256142194,-51.2370040856685,3.0066261257027596,33.33333333333333,18.550041124855582,-5.953601166151607,0.7040193599977242,0.32575535111762627,141.44059869036482,8.0,4.0,2.0,1.0,595.1899626129455,-12.49068056647179,-33.38743067886374,-4.402280903759282,25.67092137959941,-36.46172173752371
Monthly RSI,7,17.06128709051493,-48.81633922757925,3.0689239652234486,38.46153846153847,18.132110916714506,-4.719599925721042,0.7637758349321827,0.34949951922810296,131.3376987839102,10.0,6.0,2.0,1.0,595.1899626129455,-12.203869570251168,-31.56936949979726,-7.396155192032272,30.176350840334187,-28.80742463486693
