Sector_Restriction,Ranking_Method,Positions,CAGR,MaxDD,ProfitFactor,WinRate,Trades,Max_Sector_Exposure %,Calmar
No Sector Restriction,Composite Momentum,3,8.666672399374997,-41.21353281486977,2.122660928399935,32.432432432432435,37,76.7860498183076,0.21028705397097325
No Sector Restriction,Composite Momentum,5,11.00463234640272,-33.73187522498648,2.1773968536514765,34.42622950819672,61,77.4606355800146,0.32623838055262255
No Sector Restriction,Composite Momentum,7,15.375621867349064,-37.66806081017399,3.48160549457931,39.473684210526315,76,63.724124127001836,0.4081872423651862
No Sector Restriction,Composite Momentum,10,22.037964376338294,-45.95920026253947,3.5955586145836533,42.71844660194174,103,72.571395466783,0.47951148519660053
No Sector Restriction,Composite Momentum,15,27.90914864576386,-39.256094632813635,4.9387946888015115,42.142857142857146,140,62.26880037632133,0.7109507175080779
No Sector Restriction,Monthly RSI,3,-1.1843869467542234,-56.1698846190996,1.1894693394399014,26.190476190476193,42,75.92003029956483,-0.02108579988700018
No Sector Restriction,Monthly RSI,5,16.690728256142194,-51.2370040856685,3.0066261257027596,33.33333333333333,60,77.40224976911323,0.32575535111762627
No Sector Restriction,Monthly RSI,7,17.06128709051493,-48.81633922757925,3.0689239652234486,38.46153846153847,78,75.52934271585119,0.34949951922810296
No Sector Restriction,Monthly RSI,10,17.02669270087651,-44.087736715407324,3.3387603305948947,40.0,105,72.6181481262073,0.38620019917979137
No Sector Restriction,Monthly RSI,15,25.506520906536245,-37.17462667147593,5.031272273662217,41.66666666666667,144,62.15498204932112,0.6861271568897123
Max 2 Stocks / Sector,Composite Momentum,3,8.666672399374997,-41.21353281486977,2.122660928399935,32.432432432432435,37,76.7860498183076,0.21028705397097325
Max 2 Stocks / Sector,Composite Momentum,5,18.869879135512836,-33.35414597015791,3.2448614212154023,40.35087719298245,57,66.88061516436007,0.5657431358726976
Max 2 Stocks / Sector,Composite Momentum,7,19.52153648999517,-45.68396423322639,4.159544040894923,41.66666666666667,72,67.96498719671014,0.4273170425914345
Max 2 Stocks / Sector,Composite Momentum,10,19.393634738847187,-43.66735318792398,3.48198681585757,40.38461538461539,104,65.50872798172945,0.4441220573957392
Max 2 Stocks / Sector,Composite Momentum,15,29.604766426899243,-35.48543746331283,5.126923827324922,39.436619718309856,142,51.87293247870625,0.8342793140850128
Max 2 Stocks / Sector,Monthly RSI,3,-1.1843869467542234,-56.1698846190996,1.1894693394399014,26.190476190476193,42,75.92003029956483,-0.02108579988700018
Max 2 Stocks / Sector,Monthly RSI,5,12.194490499052701,-38.26308719475568,2.0532063206997644,32.30769230769231,65,63.74656156179802,0.31870116587780384
Max 2 Stocks / Sector,Monthly RSI,7,19.733824940873458,-48.76776492013521,3.9591602745314276,39.726027397260275,73,73.61669613485043,0.40464895147831076
Max 2 Stocks / Sector,Monthly RSI,10,18.620368689856882,-43.63821455993857,3.8843478537847593,39.42307692307692,104,66.7439620856224,0.42669868319844234
Max 2 Stocks / Sector,Monthly RSI,15,30.647478230234547,-35.48543746331283,5.670791889175749,41.843971631205676,141,49.03960047045163,0.8636635313266159
Max 3 Stocks / Sector,Composite Momentum,3,8.666672399374997,-41.21353281486977,2.122660928399935,32.432432432432435,37,76.7860498183076,0.21028705397097325
Max 3 Stocks / Sector,Composite Momentum,5,11.00463234640272,-33.73187522498648,2.1773968536514765,34.42622950819672,61,77.4606355800146,0.32623838055262255
Max 3 Stocks / Sector,Composite Momentum,7,16.84491519722162,-37.674245600554585,3.745298083169964,41.333333333333336,75,61.51418893435697,0.4471201726458367
Max 3 Stocks / Sector,Composite Momentum,10,23.502049784189417,-41.08070357262052,4.112201268830316,42.42424242424242,99,52.98175650455204,0.5720946269248677
Max 3 Stocks / Sector,Composite Momentum,15,29.403852725089585,-33.47024642105259,5.128265151504997,42.5531914893617,141,50.41092890137138,0.8785072077209067
Max 3 Stocks / Sector,Monthly RSI,3,-1.1843869467542234,-56.1698846190996,1.1894693394399014,26.190476190476193,42,75.92003029956483,-0.02108579988700018
Max 3 Stocks / Sector,Monthly RSI,5,16.690728256142194,-51.2370040856685,3.0066261257027596,33.33333333333333,60,77.40224976911323,0.32575535111762627
Max 3 Stocks / Sector,Monthly RSI,7,19.192887768541155,-48.8263805151819,3.3203583545075146,40.25974025974026,77,74.74443227891592,0.39308438524484496
Max 3 Stocks / Sector,Monthly RSI,10,20.37005470145776,-43.92762292332155,3.8288182972858866,42.15686274509804,102,68.62669683766084,0.4637185749161748
Max 3 Stocks / Sector,Monthly RSI,15,26.579306132804128,-32.35952798227728,5.462036030120569,42.25352112676056,142,50.21835048070934,0.8213749640403014
25% Sector Cap,Composite Momentum,3,13.7092920206338,-39.2390262468378,3.6291278853837214,31.57894736842105,38,69.9451535956884,0.349379006869178
25% Sector Cap,Composite Momentum,5,19.263100692020107,-47.857690052118116,3.609724839882233,33.33333333333333,60,71.110629051256,0.4025079495279056
25% Sector Cap,Composite Momentum,7,19.52153648999517,-45.68396423322639,4.159544040894923,41.66666666666667,72,67.96498719671014,0.4273170425914345
25% Sector Cap,Composite Momentum,10,19.393634738847187,-43.66735318792398,3.48198681585757,40.38461538461539,104,65.50872798172945,0.4441220573957392
25% Sector Cap,Composite Momentum,15,28.703894217899272,-35.51903222927738,5.423130673764948,43.05555555555556,144,49.34541043990265,0.8081271480769521
25% Sector Cap,Monthly RSI,3,14.780230321163067,-39.2390262468378,4.114071554263294,34.285714285714285,35,68.3801950572452,0.3766716897658534
25% Sector Cap,Monthly RSI,5,10.431116573601006,-38.212435710151084,2.3170914071685593,34.48275862068966,58,48.08091502668293,0.27297701336609625
25% Sector Cap,Monthly RSI,7,19.733824940873458,-48.76776492013521,3.9591602745314276,39.726027397260275,73,73.61669613485043,0.40464895147831076
25% Sector Cap,Monthly RSI,10,18.620368689856882,-43.63821455993857,3.8843478537847593,39.42307692307692,104,66.7439620856224,0.42669868319844234
25% Sector Cap,Monthly RSI,15,26.830644744773036,-37.11726473340971,5.41998469021468,43.83561643835616,146,55.778238755419586,0.7228615830794891
