Ranking Method,Cap 10 Total Return (%),Cap 10 CAGR (%),Cap 10 MaxDD (%),Cap 10 PF,Cap 10 WinRate (%),Cap 10 Trades,Cap 10 AvgRet (%),Cap 10 Exposure (%),Cap 20 CAGR (%),Cap 20 MaxDD (%),Cap 20 PF,Cap 20 Trades
A. Highest Monthly RSI,266.76870288425283,16.224455924156512,-26.39611645350499,1.6466075397869746,28.053035589672014,1433,1.8583939999032766,45.21925299207219,14.9122291714606,-16.020043674036042,1.7101294399613207,2358
B. Strongest Breakout (Entry/Res),227.58697426171926,14.715171388573411,-27.356418144508073,1.5320005983800271,27.60027192386132,1471,1.5868326179229402,50.80632003434855,14.662127264058288,-15.832561128968678,1.6591846633094962,2395
C. Highest Relative Volume,306.83854082775264,17.62706460941237,-20.408585697771382,1.7485514929172459,28.581460674157306,1424,2.142736220531045,43.18106371624355,14.834627609793793,-16.12564539369668,1.6827322847964334,2393
D. Distance Above Monthly EMA9,172.46123952856473,12.295590330425066,-27.86407970407983,1.4047167533942138,25.326370757180154,1532,1.2419835358202935,52.86060422584503,13.35675119086095,-16.073527370434896,1.5514757861217958,2452
E. Distance Above Daily EMA21,245.76837326554696,15.434310304534705,-28.67917204521942,1.567668488364171,26.76529926025555,1487,1.6981322489427253,49.77670651711547,14.884822907167216,-15.20460875930611,1.657465982486664,2432
F. Combined Quantitative Tech Score,201.6028147560339,13.623565133140447,-30.55804033668475,1.4531532528455744,26.136363636363637,1496,1.3682973950274997,49.15634382584483,14.045026176236286,-18.370196827872192,1.6030874129201393,2438
G. Market Cap (Large-Cap Bias),211.38642319038232,14.044000660298405,-23.725049453237784,1.5488162413701887,29.027576197387518,1378,1.5167557548724269,49.74103687424677,14.437449407704417,-16.29525677395697,1.7150976621337715,2277
H. Profit Growth (3Y CAGR),282.499599684414,16.790536950695547,-27.13153096366553,1.752852995902639,27.94943820224719,1424,2.1562266106651573,48.23962950570656,15.740873792989007,-15.101073839574749,1.7826102089935494,2325
I. Revenue Growth (3Y CAGR),271.7772445593229,16.406981777957853,-26.397347771419255,1.7444816301467796,28.742937853107343,1416,2.1095328923011762,47.14990328026835,15.434821800535659,-17.00564870393752,1.7576732470467171,2338
J. ROE (High Quality Bias),246.4509342769325,15.460651046623841,-23.42148032683149,1.6164029579658816,27.98001427551749,1401,1.7527441916127342,46.10583914200035,14.454826298412659,-14.679400872581164,1.676958630365279,2350
K. ROCE (High Efficiency Bias),224.16982154193485,14.57608459901496,-23.685793451106775,1.6308680032307346,29.036929761042725,1381,1.781404551949844,49.468332841416355,14.47725083514082,-15.860834744230843,1.6825449257582072,2341
L. Interest Coverage (Solvency),227.43947782296755,14.709194462476894,-22.69569724320652,1.6247294659042664,28.398576512455513,1405,1.7705623261311798,49.46367441903502,14.711940090197162,-14.67588076906303,1.7220627204844732,2304
M. P/E Valuation (Lower P/E),225.21899162415818,14.618925862376786,-28.048025285757,1.5608575831082,26.703372333103925,1453,1.6399919454306817,48.52360434261643,15.664727568223702,-15.777157016863825,1.776343313572228,2343
N. Hybrid (50% Tech + 50% Fund),201.1993765670186,13.605970400549538,-23.217533097052506,1.5327997404693263,26.875,1440,1.5706798438804503,49.3410174208326,14.940239414220159,-16.415199766499725,1.7006017314481874,2362
